Number_of_Riders,Number_of_Drivers,Location_enc,Loyalty_enc,Number_of_Past_Rides,Average_Ratings,Time_enc,Vehicle_enc,Expected_Ride_Duration,demand_supply_ratio,high_demand_flag,low_supply_flag,surge_indicator,rider_driver_diff,is_premium,is_night,is_loyal_gold
93,56,1,1,56,4.65,1,1,86,1.631578947368421,1,0,0,37,1,0,0
71,61,1,1,79,3.85,0,0,147,1.1451612903225807,0,0,0,10,0,0,0
53,33,0,1,40,3.8,2,1,139,1.5588235294117647,0,0,0,20,1,0,0
85,65,1,1,73,4.65,0,1,165,1.2878787878787878,1,0,0,20,1,0,0
41,9,0,2,73,3.51,2,0,150,4.1,0,1,0,32,0,0,0
47,37,1,0,64,3.75,2,0,31,1.236842105263158,0,0,0,10,0,0,1
93,43,1,1,44,4.41,0,1,16,2.1136363636363638,1,0,0,50,1,0,0
56,25,1,1,87,3.73,1,1,172,2.1538461538461537,0,0,0,31,1,0,0
71,6,1,0,48,4.05,0,0,157,10.142857142857142,0,1,0,65,0,0,1
59,37,0,2,86,4.67,3,1,95,1.5526315789473684,0,0,0,22,1,1,0
50,8,0,1,25,3.8,1,1,13,5.555555555555555,0,1,0,42,1,0,0
71,30,0,1,60,4.83,1,1,156,2.2903225806451615,0,0,0,41,1,0,0
88,55,0,1,56,4.0,3,1,26,1.5714285714285714,1,0,0,33,1,1,0
81,16,1,1,73,4.89,3,0,125,4.764705882352941,0,0,0,65,0,1,0
37,6,0,0,59,4.73,1,0,20,5.285714285714286,0,1,0,31,0,0,1
79,29,1,2,0,4.86,2,0,127,2.6333333333333333,0,0,0,50,0,0,0
41,7,0,0,68,4.3,1,1,66,5.125,0,1,0,34,1,0,1
89,16,1,1,27,4.86,0,0,161,5.235294117647059,1,0,0,73,0,0,0
49,6,0,2,23,4.65,3,1,69,7.0,0,1,0,43,1,1,0
35,13,0,2,80,3.8,0,0,93,2.5,0,0,0,22,0,0,0
54,39,0,0,88,4.59,1,0,42,1.35,0,0,0,15,0,0,1
52,9,1,1,24,4.19,2,0,102,5.2,0,1,0,43,0,0,0
35,17,2,1,78,4.4,1,1,61,1.9444444444444444,0,0,0,18,1,0,0
56,10,2,2,55,4.5,3,0,45,5.090909090909091,0,1,0,46,0,1,0
91,61,1,0,100,4.88,3,0,101,1.467741935483871,1,0,0,30,0,1,1
34,19,0,1,51,4.2,3,1,166,1.7,0,0,0,15,1,1,0
27,5,0,0,2,4.3,1,0,22,4.5,0,1,0,22,0,0,1
32,20,0,2,44,3.55,3,0,68,1.5238095238095237,0,0,0,12,0,1,0
49,29,1,1,35,4.8,1,1,160,1.6333333333333333,0,0,0,20,1,0,0
37,13,0,1,31,4.66,0,0,35,2.642857142857143,0,0,0,24,0,0,0
61,38,0,2,100,4.34,1,1,78,1.564102564102564,0,0,0,23,1,0,0
85,58,2,1,85,4.1,3,1,92,1.4406779661016949,1,0,0,27,1,1,0
48,19,1,0,72,3.81,3,1,65,2.4,0,0,0,29,1,1,1
25,11,2,2,92,3.91,3,0,115,2.0833333333333335,0,0,0,14,0,1,0
58,32,2,0,92,4.59,0,1,111,1.7575757575757576,0,0,0,26,1,0,1
66,15,2,2,88,4.21,1,1,65,4.125,0,0,0,51,1,0,0
60,50,1,2,54,4.57,0,1,38,1.1764705882352942,0,0,0,10,1,0,0
22,10,0,2,5,4.44,2,1,129,2.0,0,1,0,12,1,0,0
67,18,2,2,78,3.81,2,1,22,3.526315789473684,0,0,0,49,1,0,0
70,14,2,2,16,4.3,2,0,53,4.666666666666667,0,0,0,56,0,0,0
36,25,0,1,26,3.57,0,0,122,1.3846153846153846,0,0,0,11,0,0,0
30,13,2,0,53,3.68,3,1,124,2.142857142857143,0,0,0,17,1,1,1
24,13,2,2,54,4.09,2,0,161,1.7142857142857142,0,0,0,11,0,0,0
89,70,1,0,86,4.51,0,0,90,1.2535211267605635,1,0,0,19,0,0,1
75,24,0,1,44,3.79,3,1,72,3.0,0,0,0,51,1,1,0
21,8,2,1,57,4.78,3,1,84,2.3333333333333335,0,1,0,13,1,1,0
84,55,1,1,1,4.47,0,0,146,1.5,1,0,0,29,0,0,0
79,63,2,0,56,4.66,1,1,70,1.234375,0,0,0,16,1,0,1
21,9,2,0,48,4.4,0,1,152,2.1,0,1,0,12,1,0,1
38,13,2,0,38,4.46,1,1,28,2.7142857142857144,0,0,0,25,1,0,1
33,7,1,0,49,4.31,1,1,22,4.125,0,1,0,26,1,0,1
84,37,2,0,3,3.83,1,1,69,2.210526315789474,1,0,0,47,1,0,1
100,85,1,2,59,4.46,1,0,110,1.1627906976744187,1,0,0,15,0,0,0
51,20,0,2,97,4.8,2,0,130,2.4285714285714284,0,0,0,31,0,0,0
94,27,1,2,100,3.6,3,1,172,3.357142857142857,1,0,0,67,1,1,0
26,11,2,0,10,4.22,2,1,69,2.1666666666666665,0,0,0,15,1,0,1
77,25,0,1,70,4.27,0,1,52,2.9615384615384617,0,0,0,52,1,0,0
59,39,1,0,49,3.78,2,1,98,1.475,0,0,0,20,1,0,1
87,44,0,2,61,3.87,1,1,16,1.9333333333333333,1,0,0,43,1,0,0
55,21,2,1,20,3.56,3,1,134,2.5,0,0,0,34,1,1,0
68,46,2,0,8,4.21,0,0,116,1.446808510638298,0,0,0,22,0,0,1
54,8,1,1,41,3.89,2,0,168,6.0,0,1,0,46,0,0,0
57,21,0,2,28,4.93,3,0,141,2.590909090909091,0,0,0,36,0,1,0
76,54,2,1,58,4.05,1,0,74,1.3818181818181818,0,0,0,22,0,0,0
50,25,1,2,19,4.32,3,0,176,1.9230769230769231,0,0,0,25,0,1,0
24,8,0,0,50,4.12,2,0,164,2.6666666666666665,0,1,0,16,0,0,1
47,17,0,2,7,4.8,2,0,173,2.611111111111111,0,0,0,30,0,0,0
99,30,2,1,74,4.21,2,1,160,3.193548387096774,1,0,0,69,1,0,0
53,22,2,2,28,4.99,0,1,64,2.3043478260869565,0,0,0,31,1,0,0
67,48,0,1,94,4.3,1,1,168,1.3673469387755102,0,0,0,19,1,0,0
35,14,2,2,74,5.0,3,1,175,2.3333333333333335,0,0,0,21,1,1,0
65,51,1,0,97,4.81,3,1,144,1.25,0,0,0,14,1,1,1
79,13,0,1,6,4.63,0,0,38,5.642857142857143,0,0,0,66,0,0,0
57,40,2,1,78,3.62,0,0,171,1.3902439024390243,0,0,0,17,0,0,0
25,6,2,0,60,3.91,1,1,145,3.5714285714285716,0,1,0,19,1,0,1
73,27,0,0,98,3.97,1,0,57,2.607142857142857,0,0,0,46,0,0,1
45,19,1,2,71,3.72,3,0,121,2.25,0,0,0,26,0,1,0
48,17,1,2,2,4.09,1,0,85,2.6666666666666665,0,0,0,31,0,0,0
95,76,2,1,74,4.39,3,0,118,1.2337662337662338,1,0,0,19,0,1,0
91,60,0,0,2,3.53,1,1,107,1.4918032786885247,1,0,0,31,1,0,1
97,25,2,1,95,4.91,3,1,101,3.730769230769231,1,0,0,72,1,1,0
75,51,1,1,68,3.65,0,1,66,1.4423076923076923,0,0,0,24,1,0,0
35,7,0,1,65,4.19,3,0,65,4.375,0,1,0,28,0,1,0
86,48,2,2,37,4.15,3,0,84,1.7551020408163265,1,0,0,38,0,1,0
70,37,2,2,10,3.65,3,1,168,1.8421052631578947,0,0,0,33,1,1,0
42,31,0,0,32,4.75,3,0,12,1.3125,0,0,0,11,0,1,1
93,70,1,2,21,3.81,1,0,12,1.3098591549295775,1,0,0,23,0,0,0
59,24,1,1,40,4.0,0,1,147,2.36,0,0,0,35,1,0,0
59,29,2,1,90,4.3,3,0,145,1.9666666666666666,0,0,0,30,0,1,0
84,6,1,0,24,3.74,2,0,68,12.0,1,1,1,78,0,0,1
72,43,1,0,28,4.87,0,0,132,1.6363636363636365,0,0,0,29,0,0,1
64,19,0,0,86,4.68,3,1,171,3.2,0,0,0,45,1,1,1
30,10,1,0,86,4.95,1,0,149,2.727272727272727,0,1,0,20,0,0,1
22,8,0,1,4,4.84,2,0,122,2.4444444444444446,0,1,0,14,0,0,0
31,12,1,0,34,4.7,3,0,105,2.3846153846153846,0,0,0,19,0,1,1
70,47,1,2,3,3.66,2,1,53,1.4583333333333333,0,0,0,23,1,0,0
45,18,0,0,68,4.07,2,0,136,2.3684210526315788,0,0,0,27,0,0,1
50,14,2,0,98,3.52,3,1,109,3.3333333333333335,0,0,0,36,1,1,1
85,37,0,0,10,3.76,3,1,61,2.236842105263158,1,0,0,48,1,1,1
97,21,0,1,36,3.72,1,1,23,4.409090909090909,1,0,0,76,1,0,0
61,18,0,0,84,3.93,1,1,58,3.210526315789474,0,0,0,43,1,0,1
43,26,0,2,69,4.9,1,0,107,1.5925925925925926,0,0,0,17,0,0,0
77,39,2,1,23,4.29,2,0,167,1.925,0,0,0,38,0,0,0
86,10,2,2,98,4.8,2,0,18,7.818181818181818,1,1,1,76,0,0,0
45,17,0,2,67,4.7,0,0,15,2.5,0,0,0,28,0,0,0
44,8,2,0,43,3.82,3,0,86,4.888888888888889,0,1,0,36,0,1,1
60,8,2,1,68,4.84,2,1,144,6.666666666666667,0,1,0,52,1,0,0
60,16,2,0,56,4.33,3,1,126,3.5294117647058822,0,0,0,44,1,1,1
33,20,1,1,97,4.13,2,1,169,1.5714285714285714,0,0,0,13,1,0,0
56,37,2,2,27,4.12,0,1,68,1.4736842105263157,0,0,0,19,1,0,0
95,7,0,0,40,4.68,1,0,95,11.875,1,1,1,88,0,0,1
60,38,0,0,15,4.14,1,1,144,1.5384615384615385,0,0,0,22,1,0,1
62,11,1,0,37,4.23,2,1,71,5.166666666666667,0,0,0,51,1,0,1
36,7,1,1,26,4.35,2,0,59,4.5,0,1,0,29,0,0,0
63,9,0,1,89,3.87,0,1,166,6.3,0,1,0,54,1,0,0
97,81,1,1,52,4.56,1,0,125,1.1829268292682926,1,0,0,16,0,0,0
51,27,2,0,86,3.82,1,1,152,1.8214285714285714,0,0,0,24,1,0,1
76,7,2,0,76,4.35,2,0,72,9.5,0,1,0,69,0,0,1
60,6,0,2,65,4.76,2,0,168,8.571428571428571,0,1,0,54,0,0,0
20,10,0,1,18,4.28,1,1,123,1.8181818181818181,0,1,0,10,1,0,0
89,76,2,0,35,4.8,3,1,177,1.155844155844156,1,0,0,13,1,1,1
44,25,0,2,32,4.43,3,1,154,1.6923076923076923,0,0,0,19,1,1,0
40,29,1,2,26,4.26,3,0,152,1.3333333333333333,0,0,0,11,0,1,0
85,25,2,2,21,4.03,2,0,73,3.269230769230769,1,0,0,60,0,0,0
60,19,2,2,37,4.22,1,0,68,3.0,0,0,0,41,0,0,0
49,6,1,0,18,4.41,3,1,148,7.0,0,1,0,43,1,1,1
40,30,2,1,67,4.03,1,1,143,1.2903225806451613,0,0,0,10,1,0,0
47,34,0,2,87,3.53,2,1,170,1.3428571428571427,0,0,0,13,1,0,0
51,27,2,0,8,4.31,3,0,92,1.8214285714285714,0,0,0,24,0,1,1
36,9,1,2,22,3.51,3,1,37,3.6,0,1,0,27,1,1,0
22,5,2,0,39,4.92,1,0,56,3.6666666666666665,0,1,0,17,0,0,1
72,33,0,0,63,4.25,1,0,132,2.1176470588235294,0,0,0,39,0,0,1
54,6,1,0,48,4.26,2,0,154,7.714285714285714,0,1,0,48,0,0,1
91,17,0,0,21,4.84,0,1,149,5.055555555555555,1,0,0,74,1,0,1
62,15,1,2,15,4.28,3,0,73,3.875,0,0,0,47,0,1,0
39,20,0,0,71,4.11,2,0,111,1.8571428571428572,0,0,0,19,0,0,1
71,7,2,0,31,4.83,2,1,60,8.875,0,1,0,64,1,0,1
57,16,2,1,0,3.95,0,0,97,3.3529411764705883,0,0,0,41,0,0,0
50,29,2,1,2,4.81,2,0,143,1.6666666666666667,0,0,0,21,0,0,0
61,45,0,0,42,4.25,0,0,102,1.326086956521739,0,0,0,16,0,0,1
49,14,1,2,55,4.43,2,1,131,3.2666666666666666,0,0,0,35,1,0,0
27,15,2,0,11,3.77,1,0,111,1.6875,0,0,0,12,0,0,1
39,12,2,2,30,4.51,0,1,140,3.0,0,0,0,27,1,0,0
89,28,0,1,67,4.31,0,1,134,3.0689655172413794,1,0,0,61,1,0,0
62,8,2,2,13,4.2,3,1,65,6.888888888888889,0,1,0,54,1,1,0
70,7,2,1,13,4.09,0,0,117,8.75,0,1,0,63,0,0,0
83,43,1,1,20,3.59,2,0,63,1.8863636363636365,1,0,0,40,0,0,0
100,54,1,1,91,4.59,3,1,61,1.8181818181818181,1,0,0,46,1,1,0
45,18,1,2,70,3.84,3,0,122,2.3684210526315788,0,0,0,27,0,1,0
83,26,1,0,77,3.62,3,1,74,3.074074074074074,1,0,0,57,1,1,1
30,11,2,2,99,4.96,1,0,83,2.5,0,0,0,19,0,0,0
93,66,1,2,22,3.91,3,0,180,1.3880597014925373,1,0,0,27,0,1,0
53,7,2,2,64,4.55,3,1,10,6.625,0,1,0,46,1,1,0
94,42,0,1,0,4.23,2,1,36,2.186046511627907,1,0,0,52,1,0,0
46,23,1,1,19,4.92,0,0,169,1.9166666666666667,0,0,0,23,0,0,0
47,9,0,1,5,4.81,3,1,178,4.7,0,1,0,38,1,1,0
85,27,1,0,8,4.11,3,1,157,3.0357142857142856,1,0,0,58,1,1,1
76,8,2,0,40,4.68,0,0,157,8.444444444444445,0,1,0,68,0,0,1
42,6,0,2,21,3.85,3,1,128,6.0,0,1,0,36,1,1,0
78,12,0,2,99,4.3,0,0,95,6.0,0,0,0,66,0,0,0
74,16,0,1,6,3.97,2,0,139,4.352941176470588,0,0,0,58,0,0,0
58,30,2,1,32,4.14,3,0,75,1.8709677419354838,0,0,0,28,0,1,0
79,23,2,0,88,3.88,3,0,164,3.2916666666666665,0,0,0,56,0,1,1
28,18,2,0,100,3.62,0,1,92,1.4736842105263157,0,0,0,10,1,0,1
27,7,2,1,89,3.6,2,1,120,3.375,0,1,0,20,1,0,0
79,7,0,2,31,4.82,3,0,100,9.875,0,1,0,72,0,1,0
65,38,2,1,13,4.77,2,1,132,1.6666666666666667,0,0,0,27,1,0,0
33,14,2,1,38,4.89,2,0,127,2.2,0,0,0,19,0,0,0
94,34,1,0,99,4.54,0,1,155,2.6857142857142855,1,0,0,60,1,0,1
47,22,0,2,11,4.8,0,1,119,2.0434782608695654,0,0,0,25,1,0,0
62,45,0,1,87,4.74,0,1,20,1.3478260869565217,0,0,0,17,1,0,0
71,21,1,2,82,4.88,0,1,126,3.227272727272727,0,0,0,50,1,0,0
32,12,2,2,69,3.68,2,0,55,2.4615384615384617,0,0,0,20,0,0,0
41,26,2,1,96,3.91,3,0,169,1.5185185185185186,0,0,0,15,0,1,0
60,48,1,1,15,4.06,2,0,78,1.2244897959183674,0,0,0,12,0,0,0
37,9,1,2,73,4.8,2,0,124,3.7,0,1,0,28,0,0,0
87,77,2,0,12,3.56,3,1,11,1.1153846153846154,1,0,0,10,1,1,1
76,42,0,0,95,3.93,2,0,180,1.7674418604651163,0,0,0,34,0,0,1
94,59,1,1,84,4.38,2,1,175,1.5666666666666667,1,0,0,35,1,0,0
47,9,0,0,49,4.44,1,0,96,4.7,0,1,0,38,0,0,1
